"company","jobType.0","location","positionName","rating","reviewsCount","salary","text_salary","numeric_salary","Python","SQL","Azure"," R ","AWS","Spark","Power BI","Tableau","Java","Excel","Git","HBO","WO","Master","Bachelor","degree1","degree2","experience"
"100% NL","Full-time","Bussum","Data analist",NA,NA,"","",NA,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Coolblue","Full-time","Rotterdam","Lead Data Analist",3.6,324,"€ 4.150 - € 6.000 per maand","per maand",65772,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"PostNL","Unknown","Den Haag","Web Analist",3.5,1821,"€ 3.800 - € 5.200 per maand","per maand",58320,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,"None","HBO","Medior"
"Thales","Full-time","Hengelo OV","Business Intelligence Specialist",3.9,2731,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"Bachelor","HBO","Medior"
"Harman International","Unknown","Amsterdam","Data Analyst - Sales & Operations",3.9,834,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Medior"
"bunq","Full-time","Amsterdam","Security Analyst",3.9,195,"€ 55.000 - € 63.000 per jaar","per jaar",59000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Senior"
"Provincie Flevoland","Part-time","Flevoland","Data-analist Mobiliteit",3.3,3,"€ 4.128,86 - € 5.827,12 per maand","per maand",64514.7504,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"NEH","Full-time","Leusden","SOC Analist",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Translink","Full-time","Amersfoort","Data Manager",3.6,44,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Senior"
"Samskip","Full-time","Rotterdam","Credit and Collections Analyst",3.2,17,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"IT Solutions Worldwide","Full-time","Nederland","Data Analyst",NA,NA,"","",NA,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,"Bachelor","HBO","Medior"
"Macaw","Part-time","Thuiswerk","Data & Analytics Specialist / Consultant",4.8,4,"","",NA,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,"None","WO","Medior"
"DORC International","Part-time","Zuidland","Master Data Business Analist",2.3,14,"€ 3.820 - € 4.690 per maand","per maand",55144.8,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,"Both","HBO","Senior"
"Accenture","Part-time","Amsterdam","Government Strategy & Consulting - Working Internship",4,26797,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Internship"
"Bertus","Unknown","Capelle aan den IJssel","e-commerce business analist",3,2,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"YAYA","Full-time","Halfweg","E-commerce Data Analist (30 – 38 uur)",3.3,18,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Hunt & Hackett","Unknown","Den Haag","Sales and Account manager",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Medior"
"Foot Locker","Full-time","Utrecht","Financial Analyst",3.8,8929,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"Delta Capita","Full-time","Amsterdam-Zuidoost","Junior Traded Securities and Derivatives Valuations Analyst",2.9,11,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
