"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"Planbureau voor de Leefomgeving/Ministerie van Infrastructuur en Waterstaat","903cedf0dd13cf7c","false",NA,"Fulltime","Bepaalde tijd","","","","","","Den Haag","Research analyst Global impacts of climate change","3 dagen geleden",NA,4,12,"","2024-08-09T18:40:08.502Z","NL","Data Analyst",NA
"ING Group","5c3abc61144a4069","false",NA,"Fulltime","","","","","","","Amsterdam","Data Analyst","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:08.874Z","NL","Data Analyst",NA
"NS","27e9e7f7111ce60f","false",NA,"","","","","","","","3527 Utrecht","Proces en Data Analist (MBN) - Utrecht","3 dagen geleden",NA,3.9,143,"","2024-08-09T18:40:09.132Z","NL","Data Analyst",NA
"Booking.com","0f920f3101c0cf83","false",NA,"Fulltime","","","","","","","1011 Amsterdam Centrum","IT Asset Management Specialist - Software and Licensing","3 dagen geleden",NA,3.7,1112,"","2024-08-09T18:40:09.751Z","NL","Data Analyst",NA
"ING Group","9957984f514b9432","false",NA,"Fulltime","","","","","","","Amsterdam","Business Analyst Model Risk","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:09.897Z","NL","Data Analyst",NA
"RiverBank S.A. Dutch Branch","241e94897c38dd32","false",NA,"Full-time","Permanent","","","","","","1118 Schiphol","Senior Credit Analyst","2 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:09.822Z","NL","Data Analyst",NA
"ING Group","f808dd44643f0a73","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Data Analyst - Digital, Assisted & Customer Interactions","3 dagen geleden",NA,3.9,2145,"€ 36 per uur","2024-08-09T18:40:10.256Z","NL","Data Analyst",NA
"ING Group","4bd7835b74c175a5","false",NA,"Fulltime","","","","","","","Amsterdam","Credit Risk Specialist","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:10.510Z","NL","Data Analyst",NA
"ING Group","5918374479488132","false",NA,"Fulltime","","","","","","","Amsterdam","Senior NLP/LLM Data Scientist","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:10.826Z","NL","Data Analyst",NA
"Energie Data Services Nederland","7a8a8d1227380016","false",NA,"Fulltime","","","","","","","Amersfoort","Data Analist (Senior)","3 dagen geleden",NA,3.9,14,"€ 56.000 - € 85.000 per jaar","2024-08-09T18:40:10.963Z","NL","Data Analyst",NA
"Rijksinstituut voor Volksgezondheid en Milieu (RIVM)","1173645c56c35a6a","false",NA,"Parttime","Fulltime","Bepaalde tijd","","","","","Bilthoven","Onderzoeksmedewerker bacteriologie (moleculair)","3 dagen geleden",NA,3.9,24,"","2024-08-09T18:40:11.125Z","NL","Data Analyst",NA
"Dienst Uitvoering Onderwijs (DUO)","0446b0715890996e","false",NA,"Parttime","Fulltime","","","","","","Den Haag","Informatie analist/ontwerper","3 dagen geleden",NA,4.3,17,"€ 4.024 - € 6.110 per maand","2024-08-09T18:40:11.357Z","NL","Data Analyst",NA
"Belastingdienst","cde4ee07a0c4c855","false",NA,"Parttime","","","","","","","7314 Apeldoorn","Business analist","3 dagen geleden",NA,3.6,223,"€ 4.691 - € 6.907 per maand","2024-08-09T18:40:12.659Z","NL","Data Analyst",NA
"The Headhunter Group B.V.","b441922ef701e805","false",NA,"Fulltime","","","","","","","Amsterdam","Analyst/Associate Debt & Structured Finance","Zojuist geplaatst",NA,NA,NA,"€ 60.000 - € 70.000 per jaar","2024-08-09T18:40:13.336Z","NL","Data Analyst",NA
"ING Group","ee06b53416d6ec62","false",NA,"Fulltime","","","","","","","Amsterdam","Cyber Security Governance Analyst","3 dagen geleden",NA,3.9,2145,"","2024-08-09T18:40:14.130Z","NL","Data Analyst",NA
"Booking.com","effd703a0a12c6aa","false",NA,"Fulltime","","","","","","","1011 Amsterdam Centrum","Manager Data Engineering","3 dagen geleden",NA,3.7,1112,"","2024-08-09T18:40:14.484Z","NL","Data Analyst",NA
"Goldman Sachs","8b1595b04bbe2a64","false",NA,"Fulltime","","","","","","","Den Haag","Asset Management Operations, Data Governance, Analyst, The Hague","3 dagen geleden",NA,3.9,2208,"","2024-08-09T18:40:14.793Z","NL","Data Analyst",NA
"Varrlyn","38e4a88acbfb12f0","false",NA,"Fulltime","","","","","","","1101 Amsterdam-Zuidoost","Data Analyst Responsible Investments","3 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:15.352Z","NL","Data Analyst",NA
"Luxoft","397c3b289d8e68e5","false",NA,"","","","","","","","Amsterdam","ETL Developer - Data Warehouse for Reg Reporting","3 dagen geleden",NA,4.5,655,"","2024-08-09T18:40:15.412Z","NL","Data Analyst",NA
"HCME","f0d907722d077fbd","false",NA,"","","","","","","","1045 Amsterdam Westpoort","HR Data & Payroll Analyst","3 dagen geleden",NA,NA,NA,"€ 3.538 - € 5.508 per maand","2024-08-09T18:40:15.557Z","NL","Data Analyst",NA
"Rabobank","ef64dc29040000c1","false",NA,"Fulltime","","","","","","","3521 Utrecht","Azure Platform Engineer (Mid-Level)","3 dagen geleden",NA,3.9,1426,"","2024-08-09T18:40:15.621Z","NL","Data Analyst",NA
